2021-02-19: Replaced: 264, skipped: 5, added new: 590, added affiliation: 679, new unknown: 0
2021-03-12: Replaced: 427, skipped: 5, added new: 977, added affiliation: 1047, new unknown: 0
2021-03-29: Replaced: 286, skipped: 0, added new: 639, added affiliation: 877, new unknown: 0
2021-04-08: Replaced: 85, skipped: 0, added new: 164, added affiliation: 228, new unknown: 0
2021-04-30: Replaced: 336, skipped: 1, added new: 608, added affiliation: 955, new unknown: 0
2021-05-06: Replaced: 31, skipped: 0, added new: 61, added affiliation: 84, new unknown: 0
2021-05-07: Replaced: 132, skipped: 0, added new: 177, added affiliation: 403, new unknown: 0
2021-05-10: Replaced: 45, skipped: 0, added new: 79, added affiliation: 137, new unknown: 0
2021-05-18: Replaced: 80, skipped: 8, added new: 461, added affiliation: 245, new unknown: 0
2021-05-19: Replaced: 44, skipped: 0, added new: 77, added affiliation: 114, new unknown: 0
2021-05-21: Replaced: 41, skipped: 0, added new: 53, added affiliation: 128, new unknown: 0
2021-06-09: Replaced: 230, skipped: 1, added new: 373, added affiliation: 709, new unknown: 0
2021-06-22: Replaced: 273, skipped: 3, added new: 480, added affiliation: 802, new unknown: 0
2021-07-20: Replaced: 64, skipped: 0, added new: 104, added affiliation: 218, new unknown: 0
2021-07-20: Replaced: 32, skipped: 0, added new: 72, added affiliation: 81, new unknown: 0
2021-07-20: Replaced: 64, skipped: 0, added new: 82, added affiliation: 182, new unknown: 0
2021-07-29: Replaced: 248, skipped: 0, added new: 373, added affiliation: 723, new unknown: 0
2021-08-02: Replaced: 47, skipped: 0, added new: 87, added affiliation: 130, new unknown: 0
2021-08-10: Replaced: 214, skipped: 4, added new: 332, added affiliation: 700, new unknown: 0
2021-08-30: Replaced: 489, skipped: 1, added new: 907, added affiliation: 1487, new unknown: 0
2021-09-08: Replaced: 170, skipped: 1, added new: 318, added affiliation: 554, new unknown: 0
2021-09-15: Replaced: 112, skipped: 0, added new: 230, added affiliation: 327, new unknown: 0
2021-09-15: Replaced: 40, skipped: 0, added new: 71, added affiliation: 129, new unknown: 0
2021-09-17: Replaced: 16, skipped: 0, added new: 46, added affiliation: 44, new unknown: 0
2021-09-21: Replaced: 31, skipped: 0, added new: 73, added affiliation: 88, new unknown: 0
2021-09-30: Replaced: 121, skipped: 0, added new: 285, added affiliation: 345, new unknown: 0
2021-09-30: Replaced: 14, skipped: 1, added new: 29, added affiliation: 38, new unknown: 0
2021-10-11: Replaced: 30, skipped: 0, added new: 109, added affiliation: 97, new unknown: 0
2021-10-22: Replaced: 116, skipped: 0, added new: 160, added affiliation: 344, new unknown: 0
2021-10-27: Replaced: 52, skipped: 1, added new: 120, added affiliation: 160, new unknown: 0
2021-10-29: Replaced: 40, skipped: 0, added new: 98, added affiliation: 144, new unknown: 0
2021-11-08: Replaced: 119, skipped: 1, added new: 244, added affiliation: 373, new unknown: 0
2021-11-17: Replaced: 99, skipped: 0, added new: 151, added affiliation: 338, new unknown: 0
2021-11-18: Replaced: 17, skipped: 0, added new: 26, added affiliation: 48, new unknown: 0
2021-11-24: Replaced: 112, skipped: 0, added new: 202, added affiliation: 303, new unknown: 0
2021-11-30: Replaced: 82, skipped: 1, added new: 167, added affiliation: 221, new unknown: 0
2021-12-07: Replaced: 152, skipped: 4, added new: 268, added affiliation: 358, new unknown: 0
2021-12-21: Replaced: 252, skipped: 9, added new: 566, added affiliation: 676, new unknown: 0
2022-01-10: Replaced: 223, skipped: 0, added new: 469, added affiliation: 604, new unknown: 0
2022-01-10: Replaced: 43, skipped: 4, added new: 71, added affiliation: 142, new unknown: 0
2022-01-24: Replaced: 38, skipped: 0, added new: 47, added affiliation: 107, new unknown: 0
2022-01-26: Replaced: 41, skipped: 0, added new: 1, added affiliation: 119, new unknown: 0
2022-01-26: Replaced: 160, skipped: 0, added new: 246, added affiliation: 539, new unknown: 0
2022-01-27: Replaced: 25, skipped: 0, added new: 37, added affiliation: 72, new unknown: 0
2022-02-25: Replaced: 176, skipped: 0, added new: 325, added affiliation: 537, new unknown: 0
2022-02-28: Replaced: 23, skipped: 0, added new: 30, added affiliation: 81, new unknown: 0
2022-03-07: Replaced: 26, skipped: 0, added new: 42, added affiliation: 73, new unknown: 0
2022-03-18: Replaced: 16, skipped: 0, added new: 35, added affiliation: 39, new unknown: 0
2022-03-18: Replaced: 217, skipped: 2, added new: 329, added affiliation: 640, new unknown: 0
2022-03-21: Replaced: 45, skipped: 0, added new: 72, added affiliation: 145, new unknown: 0
2022-03-30: Replaced: 205, skipped: 0, added new: 396, added affiliation: 651, new unknown: 0
2022-04-19: Replaced: 364, skipped: 32, added new: 573, added affiliation: 1128, new unknown: 0
2022-04-25: Replaced: 110, skipped: 1, added new: 201, added affiliation: 345, new unknown: 0
2022-05-09: Replaced: 28, skipped: 0, added new: 150, added affiliation: 101, new unknown: 0
2022-05-13: Replaced: 312, skipped: 4, added new: 580, added affiliation: 1037, new unknown: 0
2022-05-31: Replaced: 234, skipped: 10, added new: 507, added affiliation: 739, new unknown: 0
2022-06-10: Replaced: 155, skipped: 0, added new: 394, added affiliation: 499, new unknown: 0
2022-06-21: Replaced: 101, skipped: 0, added new: 259, added affiliation: 272, new unknown: 0
2022-06-30: Replaced: 165, skipped: 0, added new: 358, added affiliation: 520, new unknown: 0
2022-07-08: Replaced: 28, skipped: 1, added new: 97, added affiliation: 88, new unknown: 0
2022-07-11: Replaced: 124, skipped: 0, added new: 223, added affiliation: 386, new unknown: 0
2022-07-21: Replaced: 170, skipped: 0, added new: 455, added affiliation: 597, new unknown: 0
2022-08-05: Replaced: 46, skipped: 1, added new: 65, added affiliation: 122, new unknown: 0
2022-08-12: Replaced: 167, skipped: 2, added new: 248, added affiliation: 547, new unknown: 0
2022-08-26: Replaced: 224, skipped: 0, added new: 425, added affiliation: 722, new unknown: 0
2022-09-01: Replaced: 175, skipped: 1, added new: 443, added affiliation: 514, new unknown: 0
2022-09-06: Replaced: 64, skipped: 0, added new: 210, added affiliation: 230, new unknown: 0
2022-09-26: Replaced: 411, skipped: 6, added new: 945, added affiliation: 1347, new unknown: 0
2022-10-02: Replaced: 125, skipped: 0, added new: 292, added affiliation: 345, new unknown: 0
2022-10-07: Replaced: 113, skipped: 0, added new: 214, added affiliation: 354, new unknown: 0
2022-10-10: Replaced: 39, skipped: 0, added new: 79, added affiliation: 138, new unknown: 0
2022-10-13: Replaced: 56, skipped: 2, added new: 140, added affiliation: 175, new unknown: 0
2022-10-20: Replaced: 132, skipped: 1, added new: 295, added affiliation: 384, new unknown: 0
2022-11-04: Replaced: 118, skipped: 0, added new: 276, added affiliation: 375, new unknown: 0
2022-11-17: Replaced: 219, skipped: 1, added new: 431, added affiliation: 742, new unknown: 0
2022-11-25: Replaced: 169, skipped: 0, added new: 376, added affiliation: 555, new unknown: 0
2022-12-16: Replaced: 498, skipped: 5, added new: 1158, added affiliation: 1618, new unknown: 0
2022-12-19: Replaced: 45, skipped: 0, added new: 73, added affiliation: 132, new unknown: 0
2022-12-23: Replaced: 115, skipped: 4, added new: 204, added affiliation: 344, new unknown: 0
2023-01-02: Replaced: 99, skipped: 2, added new: 199, added affiliation: 337, new unknown: 0
2023-01-09: Replaced: 75, skipped: 0, added new: 154, added affiliation: 251, new unknown: 0
2023-01-13: Replaced: 94, skipped: 0, added new: 207, added affiliation: 292, new unknown: 0
2023-01-13: Replaced: 10, skipped: 0, added new: 23, added affiliation: 34, new unknown: 0
2023-01-20: Replaced: 157, skipped: 0, added new: 329, added affiliation: 580, new unknown: 0
2023-01-24: Replaced: 62, skipped: 0, added new: 150, added affiliation: 205, new unknown: 0
2023-01-30: Replaced: 97, skipped: 0, added new: 235, added affiliation: 341, new unknown: 0
2023-02-28: Replaced: 192, skipped: 0, added new: 511, added affiliation: 687, new unknown: 0
2023-03-09: Replaced: 160, skipped: 0, added new: 365, added affiliation: 552, new unknown: 0
2023-03-10: Replaced: 16, skipped: 0, added new: 51, added affiliation: 50, new unknown: 0
2023-03-17: Replaced: 94, skipped: 1, added new: 243, added affiliation: 307, new unknown: 0
2023-03-27: Replaced: 56, skipped: 0, added new: 80, added affiliation: 207, new unknown: 0
2023-03-31: Replaced: 115, skipped: 0, added new: 204, added affiliation: 416, new unknown: 0
2023-04-07: Replaced: 36, skipped: 0, added new: 71, added affiliation: 126, new unknown: 0
2023-04-07: Replaced: 84, skipped: 0, added new: 79, added affiliation: 263, new unknown: 0
2023-04-14: Replaced: 107, skipped: 0, added new: 168, added affiliation: 315, new unknown: 0
2023-04-24: Replaced: 44, skipped: 1, added new: 64, added affiliation: 133, new unknown: 0
2023-04-26: Replaced: 18, skipped: 0, added new: 34, added affiliation: 34, new unknown: 0
2023-05-08: Replaced: 186, skipped: 6, added new: 365, added affiliation: 509, new unknown: 0
2023-05-12: Replaced: 9, skipped: 0, added new: 10, added affiliation: 36, new unknown: 0
2023-05-16: Replaced: 22, skipped: 0, added new: 41, added affiliation: 85, new unknown: 0
2023-05-25: Replaced: 56, skipped: 0, added new: 93, added affiliation: 193, new unknown: 0
2023-05-29: Replaced: 19, skipped: 0, added new: 32, added affiliation: 78, new unknown: 0
2023-06-02: Replaced: 89, skipped: 0, added new: 155, added affiliation: 302, new unknown: 0
2023-06-12: Replaced: 96, skipped: 0, added new: 155, added affiliation: 322, new unknown: 0
2023-06-16: Replaced: 86, skipped: 0, added new: 152, added affiliation: 293, new unknown: 0
2023-06-26: Replaced: 92, skipped: 0, added new: 139, added affiliation: 298, new unknown: 0
2023-07-10: Replaced: 78, skipped: 0, added new: 128, added affiliation: 262, new unknown: 0
2023-07-14: Replaced: 103, skipped: 0, added new: 168, added affiliation: 384, new unknown: 0
2023-07-24: Replaced: 133, skipped: 1, added new: 259, added affiliation: 447, new unknown: 0
2023-07-28: Replaced: 45, skipped: 0, added new: 75, added affiliation: 170, new unknown: 0
2023-07-31: Replaced: 21, skipped: 0, added new: 38, added affiliation: 79, new unknown: 0
2023-08-04: Replaced: 81, skipped: 1, added new: 147, added affiliation: 332, new unknown: 0
2023-08-08: Replaced: 30, skipped: 0, added new: 64, added affiliation: 101, new unknown: 0
2023-08-18: Replaced: 60, skipped: 0, added new: 115, added affiliation: 227, new unknown: 0
2023-08-29: Replaced: 148, skipped: 1, added new: 275, added affiliation: 556, new unknown: 0
2023-09-11: Replaced: 168, skipped: 0, added new: 345, added affiliation: 696, new unknown: 0
2023-09-15: Replaced: 64, skipped: 0, added new: 150, added affiliation: 276, new unknown: 0
2023-09-18: Replaced: 13, skipped: 0, added new: 15, added affiliation: 50, new unknown: 0
2023-09-21: Replaced: 111, skipped: 0, added new: 198, added affiliation: 414, new unknown: 0
2023-10-03: Replaced: 23, skipped: 0, added new: 32, added affiliation: 98, new unknown: 0
2023-10-06: Replaced: 74, skipped: 1, added new: 122, added affiliation: 265, new unknown: 0
2023-10-09: Replaced: 38, skipped: 0, added new: 80, added affiliation: 116, new unknown: 0
2023-10-13: Replaced: 75, skipped: 0, added new: 161, added affiliation: 278, new unknown: 0
2023-10-16: Replaced: 10, skipped: 0, added new: 22, added affiliation: 31, new unknown: 0
2023-10-20: Replaced: 114, skipped: 0, added new: 187, added affiliation: 426, new unknown: 0
2023-10-27: Replaced: 140, skipped: 9, added new: 260, added affiliation: 512, new unknown: 0
2023-11-03: Replaced: 112, skipped: 0, added new: 214, added affiliation: 385, new unknown: 0
2023-11-20: Replaced: 104, skipped: 0, added new: 149, added affiliation: 401, new unknown: 0
2023-11-24: Replaced: 69, skipped: 0, added new: 93, added affiliation: 217, new unknown: 0
2023-11-27: Replaced: 18, skipped: 0, added new: 21, added affiliation: 64, new unknown: 0
2023-12-01: Replaced: 77, skipped: 0, added new: 105, added affiliation: 291, new unknown: 0
2023-12-04: Replaced: 13, skipped: 0, added new: 19, added affiliation: 33, new unknown: 0
2023-12-08: Replaced: 106, skipped: 1, added new: 142, added affiliation: 374, new unknown: 0
2023-12-18: Replaced: 114, skipped: 0, added new: 157, added affiliation: 412, new unknown: 0
2023-12-29: Replaced: 24, skipped: 0, added new: 47, added affiliation: 89, new unknown: 0
2024-01-08: Replaced: 62, skipped: 0, added new: 127, added affiliation: 209, new unknown: 0
2024-01-31: Replaced: 77, skipped: 1, added new: 236, added affiliation: 261, new unknown: 0
2024-01-31: Replaced: 114, skipped: 0, added new: 190, added affiliation: 425, new unknown: 0
2024-02-12: Replaced: 398, skipped: 3, added new: 38, added affiliation: 628, new unknown: 0
2024-02-16: Replaced: 207, skipped: 13, added new: 26, added affiliation: 744, new unknown: 0
2024-02-19: Replaced: 19, skipped: 0, added new: 0, added affiliation: 57, new unknown: 0
2024-02-23: Replaced: 207, skipped: 0, added new: 25, added affiliation: 684, new unknown: 0
2024-02-26: Replaced: 20, skipped: 6, added new: 4, added affiliation: 88, new unknown: 0
2024-03-01: Replaced: 104, skipped: 0, added new: 12, added affiliation: 381, new unknown: 0
2024-03-08: Replaced: 180, skipped: 0, added new: 20, added affiliation: 609, new unknown: 0
2024-03-11: Replaced: 20, skipped: 0, added new: 4, added affiliation: 78, new unknown: 0
2024-03-15: Replaced: 158, skipped: 0, added new: 14, added affiliation: 506, new unknown: 0
2024-03-29: Replaced: 131, skipped: 1, added new: 21, added affiliation: 475, new unknown: 0
2024-04-05: Replaced: 140, skipped: 4, added new: 21, added affiliation: 477, new unknown: 0
